gen,avg_fitness,std_fitness,best_of_gen
0,11210712.18377025,2018545.489051144,13195156.846488386
1,12078788.308912722,962133.3500407491,13284713.88980978
2,12370232.621673865,780542.6374492928,13284713.88980978
3,12366438.586672066,925246.2927803469,13284713.88980978
4,12537152.883581327,733224.2284229236,13284713.88980978
5,12373810.218565645,803960.1512138494,13284713.88980978
6,12663419.962329518,588195.2243532946,13320469.0
7,12549690.657019706,722033.2721313229,13320469.0
8,12845389.648100812,503952.70709476684,13387165.413113935
9,12714490.475211639,653625.1695317706,13387165.413113935
10,12454396.63431734,1005463.6330537974,13387165.413113935
11,12361266.705593228,1023526.342087174,13387165.413113935
12,12540377.942321865,866815.9921097076,13460254.707852997
13,12671842.154791445,716213.0152466182,13460254.707852997
14,12712730.682384798,549009.5213676448,13460254.707852997
15,12723226.804873565,693785.3499276553,13460254.707852997
16,12689418.955689032,764038.4138840911,13465085.186491948
17,12798839.809100233,773366.3063484543,13465085.186491948
18,12720736.620050775,814290.2973117259,13466655.717934223
19,12697882.949160151,647953.1806451723,13466655.717934223
20,12854736.127662577,627535.0251553718,13491684.246469025
21,12493708.899819318,1369030.27309389,13491684.246469025
22,12734558.759401444,872356.5722346418,13495512.664654335
23,12895457.490380147,673400.8366383121,13495512.664654335
24,12937595.070486896,439752.67404777044,13498605.310354488
25,12738890.23096925,764474.0941843576,13498605.310354488
26,12530077.825380057,1038853.1442424342,13498605.310354488
27,13062054.789605884,514486.53451026906,13498605.310354488
28,12631233.444172442,1163881.6609499976,13498605.310354488
29,12992761.928860225,414948.0897597812,13511276.928789478
30,12962744.318919765,604125.7156412592,13511276.928789478
31,12875571.495269107,621108.167786344,13516628.111077296
32,12840760.739697661,788845.84059917,13516628.111077296
33,12878402.365476588,865853.5800549985,13516628.111077296
34,12672427.623884045,718960.0379333033,13516628.111077296
35,12475844.507919898,1111158.765728847,13516628.111077296
36,12923414.749627333,349048.6923433633,13516628.111077296
37,12458829.862521764,738951.462888044,13516628.111077296
38,12656492.430545134,857509.3097228789,13516628.111077296
39,12604108.185299264,918304.1469859839,13516628.111077296
40,12457686.12118168,964237.1203118123,13516628.111077296
41,12714345.535029847,674608.5054887944,13516628.111077296
42,12673188.090306144,737644.8714876071,13516628.111077296
43,12758353.046447681,570333.942970838,13516628.111077296
44,12771718.054645268,792873.6924631632,13516628.111077296
45,12718888.099134173,802078.4739560857,13516628.111077296
46,12770995.504611712,653769.2336807208,13516628.111077296
47,12591980.284423947,1107983.4232643999,13516628.111077296
48,12432388.498975657,1096590.2890660027,13516628.111077296
49,12772925.436199652,551506.6719640008,13516628.111077296
